TweetId,TweetTimestamp,EstimatedTimestamp,Error
299,1143260855,1143263342,2487
133,1143074792,1143077411,2619
426,1143420907,1143435414,14507
177,1143139967,1143135266,4701
241,1143172766,1143145785,26981
124,1143072349,1143065317,7032
305,1143269202,1143271427,2225
469,1143490981,1143493921,2940
185,1143145785,1143073466,72319
158,1143096664,1143110283,13619
1026,1144027178,1144032259,5081
731,1143825589,1143816077,9512
1109,1144095377,1144090781,4596
1124,1144102170,1144101358,812
1062,1144079071,1144057642,21429
685,1143742509,1143741575,934
1064,1144080021,1144059052,20969
774,1143857865,1143851244,6621
1237,1144179456,1144175125,4331
867,1143918131,1143909148,8983
1535,1144456605,1144457898,1293
1773,1144721159,1144721794,635
1611,1144535396,1144530727,4669
1517,1144451965,1144447379,4586
1285,1144201110,1144204167,3057
1431,1144379875,1144385791,5916
1734,1144695812,1144690104,5708
1673,1144610872,1144606519,4353
1263,1144190337,1144191027,690
1475,1144428251,1144422836,5415
2076,1144973697,1144972447,1250
2028,1144946355,1144947959,1604
2327,1145237486,1145249533,12047
1874,1144807000,1144798260,8740
1910,1144822769,1144827599,4830
2355,1145305836,1145305046,790
1945,1144870359,1144862918,7441
2212,1145077875,1145097256,19381
2248,1145136430,1145138148,1718
2346,1145290930,1145291999,1069
2604,1145630582,1145626849,3733
2631,1145662809,1145659564,3245
2519,1145510035,1145511121,1086
2527,1145542811,1145523590,19221
2676,1145738417,1145652555,85862
2430,1145396060,1145400931,4871
2512,1145500057,1145500210,153
2705,1145757624,1145756939,685
2537,1145562025,1145539177,22848
2548,1145568661,1145556323,12338
3226,1146451607,1146453456,1849
2862,1146072105,1146066880,5225
2962,1146249021,1146246854,2167
3197,1146435077,1146410507,24570
2896,1146133864,1146145311,11447
3064,1146270527,1146301924,31397
2865,1146078277,1146073825,4452
3293,1146530600,1146534559,3959
3273,1146522407,1146510792,11615
3259,1146511144,1146494148,16996
3651,1146886575,1146887403,828
3380,1146620300,1146616328,3972
3350,1146596692,1146598631,1939
3378,1146620094,1146615148,4946
3732,1146994914,1146996042,1128
3385,1146621877,1146619278,2599
3678,1146936173,1146915479,20694
3823,1147145455,1147138950,6505
3780,1147104698,1147100724,3974
3422,1146670929,1146657628,13301
3873,1147200895,1147189928,10967
4235,1147483216,1147490525,7309
3878,1147202690,1147195488,7202
4405,1147707613,1147685175,22438
4108,1147379182,1147376790,2392
3908,1147218181,1147220058,1877
3966,1147279655,1147262581,17074
4431,1147719905,1147711634,8271
3988,1147296755,1147288833,7922
4048,1147366813,1147337061,29752
4703,1148011772,1148026181,14409
4797,1148089945,1148099553,9608
4839,1148144222,1148138966,5256
4695,1148007313,1148018751,11438
4507,1147795182,1147789225,5957
4754,1148071480,1148065497,5983
4649,1147983862,1147982655,1207
4727,1148052613,1148047433,5180
4773,1148080469,1148078208,2261
4686,1148001371,1148010392,9021
5336,1148703561,1148707598,4037
5173,1148530983,1148535987,5004
5292,1148681380,1148680332,1048
5417,1148787141,1148785829,1312
5536,1148858178,1148861389,3211
5498,1148844532,1148837995,6537
5323,1148696895,1148697539,644
5162,1148519892,1148518476,1416
5602,1148938001,1148942534,4533
5344,1148706937,1148716586,9649
5832,1149222009,1149144889,77120
5630,1149006503,1148984907,21596
5626,1148998315,1148978659,19656
5936,1149357970,1149356614,1356
5870,1149287027,1149276831,10196
6000,1149408162,1149407860,302
5910,1149311380,1149326972,15592
5692,1149055077,1149073155,18078
6065,1149487466,1149496666,9200
5641,1149016998,1149002088,14910
6481,1150058581,1150048474,10107
6462,1150007665,1150021271,13606
6553,1150147814,1150146881,933
6289,1149806085,1149801138,4947
6135,1149612876,1149600969,11907
6308,1149814532,1149813358,1174
6309,1149814540,1149814001,539
6134,1149612657,1149599500,13157
6474,1150055306,1150038452,16854
6509,1150077433,1150087661,10228
6786,1150414738,1150414805,67
6697,1150331371,1150332315,944
6783,1150414635,1150413346,1289
7102,1150765035,1150702939,62096
6613,1150241804,1150244666,2862
7059,1150735229,1150716487,18742
6755,1150400471,1150389263,11208
7096,1150758934,1150758261,673
6748,1150398057,1150381279,16778
7037,1150691287,1150694744,3457
7464,1151080853,1151071033,9820
7223,1150870505,1150871647,1142
7442,1151040610,1151047050,6440
7616,1151186260,1151179126,7134
7177,1150834184,1150839124,4940
7654,1151207506,1151207147,359
7567,1151135282,1151142995,7713
7642,1151203594,1151198298,5296
7211,1150863693,1150862745,948
7417,1151029770,1151028730,1040
8300,1151715159,1151715049,110
8551,1151904457,1151909752,5295
8619,1151989048,1151997702,8654
8301,1151715442,1151715768,326
8070,1151542999,1151550746,7747
8092,1151556475,1151561594,5119
8151,1151615957,1151605166,10791
7907,1151432714,1151420050,12664
8418,1151806199,1151800141,6058
8019,1151525524,1151525597,73
8982,1152290730,1152289040,1690
8805,1152129166,1152126357,2809
8731,1152071015,1152073377,2362
8994,1152294807,1152296836,2029
9213,1152484364,1152486278,1914
9088,1152392642,1152384770,7872
9185,1152464520,1152459927,4593
8712,1152060972,1152065561,4589
8962,1152248884,1152267327,18443
8900,1152218720,1152214129,4591
11045,1153172828,1153172035,793
10114,1152917864,1152919372,1508
9804,1152833708,1152839811,6103
9836,1152842317,1152849554,7237
9449,1152666068,1152674001,7933
10008,1152897628,1152898916,1288
10835,1153115486,1153132561,17075
10087,1152913340,1152914162,822
10643,1153080678,1153011794,68884
10552,1153068181,1153052185,15996
12194,1153390455,1153344203,46252
13494,1153768169,1153764028,4141
12568,1153467972,1153481198,13226
12550,1153461847,1153476305,14458
11960,1153343342,1153342140,1202
13384,1153753067,1153727155,25912
12947,1153552896,1153560763,7867
12908,1153543659,1153548632,4973
13479,1153763919,1153758999,4920
13110,1153609201,1153610865,1664
13740,1153863713,1153863551,162
15337,1154396103,1154363852,32251
13752,1153865683,1153867971,2288
14161,1154002125,1154005447,3322
14992,1154264814,1154262593,2221
14561,1154115111,1154115359,248
15123,1154315084,1154329113,14029
14222,1154022592,1154023546,954
14284,1154034382,1154041876,7494
13649,1153841778,1153832534,9244
16734,1154920230,1154928299,8069
16594,1154838112,1154856443,18331
16642,1154881280,1154879821,1459
15561,1154469496,1154473328,3832
16397,1154755641,1154761961,6320
16452,1154796182,1154787250,8932
16326,1154735080,1154733901,1179
16630,1154872618,1154874360,1742
16925,1155009895,1154963862,46033
16024,1154629294,1154621298,7996
17167,1155147829,1155142094,5735
18046,1155654740,1155643086,11654
17902,1155574540,1155557425,17115
17835,1155508074,1155512310,4236
16958,1155043837,1155028326,15511
17780,1155459912,1155471645,11733
